Abaca, n., The Manila-hemp plant (Musa textilis); also
Owing, P. p. & a., Had or experienced as a consequence
Owled, imp. & p. p., of Owl
Owler, v. i., One who owls; esp.
Owlet, n., A small owl; especially
Owned, imp. & p. p., of Own
Owner, n., One who owns; a rightful proprietor; one who has the legal or rightful title
Owser, n., Tanner's ooze. See Ooze
Oxbow, n., A frame of wood
Oxeye, n., The oxeye daisy. See under Daisy.
Oxeye, n., The corn camomile (Anthemis arvensis).
Oxeye, n., A genus of composite plants (Buphthalmum) with large yellow flowers.
Oxeye, n., A titmouse
Oxeye, n., The dunlin.
Oxeye, n., A fish; the bogue
Oxfly, n., The gadfly of cattle.
Oxide, n., A binary compound of oxygen with an atom or radical
Oxime, n., One of a series of isonitroso derivatives obtained by the action of hydroxylamine on aldehydes or ketones.
Oxlip, n., The great cowslip (Primula veris
Oxter, n., The armpit; also
Oylet, n., See Eyelet.
Oylet, n., Same as Oillet.
Ozena, n., A discharge of fetid matter from the nostril
Ozone, n., A colorless gaseous substance (O/) obtained (as by the silent discharge of electricity in oxygen) as an allotropic form of oxygen
Paage, n., A toll for passage over another person's grounds.
Paard, n., The zebra.
Paced, imp. & p. p., of Pace
Paced, a., Having
Pacer, n., One who
Pacha, n., See Pasha.
Pacos, n., Same as Alpaca.
Pacos, n., An earthy-looking ore
Padar, n., Groats; coarse flour or meal.
Paddy, a., Low; mean; boorish; vagabond.
Paddy, n., A jocose or contemptuous name for an Irishman.
Paddy, n., Unhusked rice; -- commonly so called in the East Indies.
Padge, n., The barn owl; -- called also pudge
Padow, n., A paddock
Paean, n., An ancient Greek hymn in honor of Apollo as a healing deity
Paean, n., Any loud and joyous song; a song of triumph.
Paean, n., See Paeon.
Paeon, n., A foot of four syllables
Pagan, n., One who worships false gods; an idolater; a heathen; one who is neither a Christian
Pagan, n., Of or pertaining to pagans; relating to the worship or the worshipers of false goods; heathen; idolatrous
Paged, imp. & p. p., of Page
Pagod, n., A pagoda. [R.] 'Or some queer pagod.'
Pagod, n., An idol.
Paien, n. & a., Pagan.
Pains, n., Labor; toilsome effort; care or trouble taken; -- plural in form
Paint, v. t., To cover with coloring matter; to apply paint to; as
Paint, v. t., Fig.: To color
Paint, v. t., To form in colors a figure or likeness of on a flat surface
Paint, v. t., Fig.: To represent or exhibit to the mind; to describe vividly; to delineate; to image; to depict.
Paint, v. t., To practice the art of painting; as
Paint, v. t., To color one's face by way of beautifying it.
Paint, n., A pigment or coloring substance.
Paint, n., The same prepared with a vehicle
Paint, n., A cosmetic; rouge.
Paise, n., See Poise.
Paled, imp. & p. p., of Pale
Palea, n., The interior chaff or husk of grasses.
Palea, n., One of the chaffy scales or bractlets growing on the receptacle of many compound flowers
Palea, n., A pendulous process of the skin on the throat of a bird
Paled, a., Striped.
Paled, a., Inclosed with a paling.
Palet, n., Same as Palea.
Palla, n., An oblong rectangular piece of cloth
Palet, n., A perpendicular band upon an escutcheon
Palmy, a., Bearing palms; abounding in palms; derived from palms; as
Palmy, a., Worthy of the palm; flourishing; prosperous.
Palpi, n., pl. of Palpus. (Zool.) See Palpus.
Palpi, pl., of Palpus
Palsy, n., Paralysis
Palsy, v. t., To affect with palsy
Palus, n., One of several upright slender calcareous processes which surround the central part of the calicle of certain corals.
Pance, n., The pansy.
Panch, n., See Paunch.
Pancy, n., See Pansy.
Panda, n., A small Asiatic mammal (Ailurus fulgens) having fine soft fur. It is related to the bears
Paned, a., Having panes; provided with panes; also
Paned, a., Having flat sides or surfaces; as
Panel, n., A sunken compartment with raised margins
Panel, n., A piece of parchment or a schedule
Panel, n., A prisoner arraigned for trial at the bar of a criminal court.
Panel, n., Formerly
Panel, n., A board having its edges inserted in the groove of a surrounding frame; as
Panel, n., One of the faces of a hewn stone.
Panel, n., A slab or plank of wood upon which
Panel, n., A heap of dressed ore.
Panel, n., One of the districts divided by pillars of extra size
Panel, n., A plain strip or band
Panel, n., A portion of a framed structure between adjacent posts or struts
Panel, v. t., To form in or with panels; as
Panic, n., A plant of the genus Panicum; panic grass; also
Panic, a., Extreme or sudden and causeless; unreasonable; -- said of fear or fright; as
Panic, a., A sudden
Panic, a., By extension: A sudden widespread fright or apprehension concerning financial affairs.
Panim, n., See Painim.
Pansy, n., A plant of the genus Viola (V. tricolor) and its blossom
Panym, n. & a., See Panim.
Paolo, n., An old Italian silver coin
Papal, a., Of or pertaining to the pope of Rome; proceeding from the pope; ordered or pronounced by the pope; as
Papal, a., Of or pertaining to the Roman Catholic Church.
Papaw, n., A tree (Carica Papaya) of tropical America
Papaw, n., A tree of the genus Asimina (A. triloba)
Paper, n., A substance in the form of thin sheets or leaves intended to be written or printed on
Paper, n., A sheet
Paper, n., A printed or written instrument; a document
Paper, n., A printed sheet appearing periodically; a newspaper; a journal; as
Paper, n., Negotiable evidences of indebtedness; notes; bills of exchange
Paper, n., Decorated hangings or coverings for walls
Paper, n., A paper containing (usually) a definite quantity; as
Paper, n., A medicinal preparation spread upon paper
Paper, a., Of or pertaining to paper; made of paper; resembling paper; existing only on paper; unsubstantial; as
Paper, v. t., To cover with paper; to furnish with paper hangings; as
Paper, v. t., To fold or inclose in paper.
Paper, v. t., To put on paper; to make a memorandum of.
Pappy, a., Like pap; soft; succulent; tender.
Paque, n., See Pasch and Easter.
Para-, , A prefix signifying alongside of
Para-, , A prefix denoting: (a) Likeness
Param, n., A white crystalline nitrogenous substance (C2H4N4); -- called also dicyandiamide.
Parch, v. t., To burn the surface of; to scorch; to roast over the fire
Parch, v. t., To dry to extremity; to shrivel with heat; as
Parch, v. i., To become scorched or superficially burnt; to be very dry.
Parde, adv. / interj., Alt. of Pardie
Pardo, n., A money of account in Goa
Pared, imp. & p. p., of Pare
Parer, v. t., One who
Pari-, , A combining form signifying equal; as
Paris, n., A plant common in Europe (Paris quadrifolia); herb Paris; truelove. It has been used as a narcotic.
Paris, n., The chief city of France.
Parle, v. i., To talk; to converse; to parley.
Parle, n., Conversation; talk; parley.
Parol, n., A word; an oral utterance.
Parol, n., Oral declaration; word of mouth; also
Parol, a., Given or done by word of mouth; oral; also
Parry, v. t., To ward off; to stop
Parry, v. t., To avoid; to shift or put off; to evade.
Parry, v. i., To ward off
Parry, n., A warding off of a thrust or blow
Parse, n., To resolve into its elements
Party, v., A part or portion.
Party, v., A number of persons united in opinion or action
Party, v., A part of a larger body of company; a detachment; especially (Mil.)
Party, v., A number of persons invited to a social entertainment; a select company; as
Party, v., One concerned or interested in an affair; one who takes part with others; a participator; as
Party, v., The plaintiff or the defendant in a lawsuit
Party, v., Hence
Party, v., Cause; side; interest.
Party, v., A person; as
Party, v., Parted or divided
Party, v., Partial; favoring one party.
Party, adv., Partly.
Pasan, n., The gemsbok.
Pasch, n., Alt. of Pascha
Pasha, n., An honorary title given to officers of high rank in Turkey
Paspy, n., A kind of minuet
Passe, a., Alt. of Passee
Paste, n., A soft composition
Paste, n., Specifically
Paste, n., A kind of cement made of flour and water
Paste, n., A highly refractive vitreous composition
Paste, n., A soft confection made of the inspissated juice of fruit
Paste, n., The mineral substance in which other minerals are imbedded.
Paste, v. t., To unite with paste; to fasten or join by means of paste.
Pasty, a., Like paste
Pasty, n., A pie consisting usually of meat wholly surrounded with a crust made of a sheet of paste
Patas, n., A West African long-tailed monkey (Cercopithecus ruber); the red monkey.
Patch, n., A piece of cloth
Patch, n., A small piece of anything used to repair a breach; as
Patch, n., A small piece of black silk stuck on the face
Patch, n., A piece of greased cloth or leather used as wrapping for a rifle ball
Patch, n., Fig.: Anything regarded as a patch; a small piece of ground; a tract; a plot; as
Patch, n., A block on the muzzle of a gun
Patch, n., A paltry fellow; a rogue; a ninny; a fool.
Patch, v. t., To mend by sewing on a piece or pieces of cloth
Patch, v. t., To mend with pieces; to repair with pieces festened on; to repair clumsily; as
Patch, v. t., To adorn
Patch, v. t., To make of pieces or patches; to repair as with patches; to arrange in a hasty or clumsy manner; -- generally with up; as
Pated, a., Having a pate; -- used only in composition; as
Patee, n., See Pattee.
Paten, n., A plate.
Paten, n., The place on which the consecrated bread is placed in the Eucharist
Paths, pl., of Path
Patin, n., Alt. of Patine
Patio, n., A paved yard or floor where ores are cleaned and sorted
Patly, adv., Fitly; seasonably.
Patte, a., Alt. of Pattee
Patty, n., A little pie.
Paugy, n., The scup. See Porgy
Paune, n., A kind of bread. See Pone.
Pause, n., A temporary stop or rest; an intermission of action; interruption; suspension; cessation.
Pause, n., Temporary inaction or waiting; hesitation; suspence; doubt.
Pause, n., In speaking or reading aloud
Pause, n., In writing and printing
Pause, n., A break or paragraph in writing.
Pause, n., A hold. See 4th Hold
Pause, n., To make a short stop; to cease for a time; to intermit speaking or acting; to stop; to wait; to rest.
Pause, n., To be intermitted; to cease; as
Pause, n., To hesitate; to hold back; to delay.
Pause, n., To stop in order to consider; hence
Pause, v. t., To cause to stop or rest; -- used reflexively.
Pauxi, n., A curassow (Ourax pauxi)
Pavan, n., A stately and formal Spanish dance for which full state costume is worn; -- so called from the resemblance of its movements to those of the peacock.
Paved, imp. & p. p., of Pave
Paven, n., See Pavan.
Paver, n., One who paves; one who lays a pavement.
Pavid, a., Timid; fearful.
Pavin, n., See Pavan.
Pavon, n., A small triangular flag
Pawed, imp. & p. p., of Paw
Pawky, a., Arch; cunning; sly.
Payee, n., The person to whom money is to be
Payen, n. & a., Pagan.
Payer, n., One who pays; specifically
Payor, n., See Payer.
Payse, v. t., To poise.
Pease, pl., of Pea
Peace, v., A state of quiet or tranquillity; freedom from disturbance or agitation; calm; repose
Peace, v., Exemption from
Peace, v., Public quiet
Peace, v., Exemption from
Peace, v., Reconciliation; agreement after variance; harmony; concord.
Peace, v. t. & i., To make or become quiet; to be silent; to stop.
Peach, v. t., To accuse of crime; to inform against.
Peach, v. i., To turn informer; to betray one's accomplice.
Peach, n., A well-known high-flavored juicy fruit
Peage, n., See Paage.
Peaky, a., Having a peak or peaks.
Peaky, a., Sickly; peaked.
Pearl, n., A fringe or border.
Pearl, v. t., To fringe; to border.
Pearl, n., A shelly concretion
Pearl, n., Hence
Pearl, n., Nacre
Pearl, n., A fish allied to the turbot; the brill.
Pearl, n., A light-colored tern.
Pearl, n., One of the circle of tubercles which form the bur on a deer's antler.
Pearl, n., A whitish speck or film on the eye.
Pearl, n., A capsule of gelatin or similar substance containing some liquid for medicinal application
Pearl, n., A size of type
Pearl, a., Of or pertaining to pearl or pearls; made of pearls
Pearl, v. t., To set or adorn with pearls
Pearl, v. t., To cause to resemble pearls; to make into small round grains; as
